0 0.1 0.587785
0 0.2 0.951057
0 0.3 0.951057
0 0.4 0.587785
0 0.5 1.22461e-16
0 0.6 -0.587785
0 0.7 -0.951057
0 0.8 -0.951057
0 0.9 -0.587785


0.1 0.1 0.844845
0.1 0.2 1.36699
0.1 0.3 1.36699
0.1 0.4 0.844845
0.1 0.5 2.14331e-17
0.1 0.6 -0.844845
0.1 0.7 -1.36699
0.1 0.8 -1.36699
0.1 0.9 -0.844845


0.2 0.1 0.779202
0.2 0.2 1.26078
0.2 0.3 1.26078
0.2 0.4 0.779202
0.2 0.5 -1.22461e-16
0.2 0.6 -0.779202
0.2 0.7 -1.26078
0.2 0.8 -1.26078
0.2 0.9 -0.779202


0.3 0.1 0.415931
0.3 0.2 0.67299
0.3 0.3 0.67299
0.3 0.4 0.415931
0.3 0.5 8.95892e-17
0.3 0.6 -0.415931
0.3 0.7 -0.67299
0.3 0.8 -0.67299
0.3 0.9 -0.415931


0.4 0.1 -0.106212
0.4 0.2 -0.171854
0.4 0.3 -0.171854
0.4 0.4 -0.106212
0.4 0.5 -3.21629e-16
0.4 0.6 0.106212
0.4 0.7 0.171854
0.4 0.8 0.171854
0.4 0.9 0.106212


0.5 0.1 -0.587785
0.5 0.2 -0.951057
0.5 0.3 -0.951057
0.5 0.4 -0.587785
0.5 0.5 2.14331e-17
0.5 0.6 0.587785
0.5 0.7 0.951057
0.5 0.8 0.951057
0.5 0.9 0.587785


0.6 0.1 -0.844845
0.6 0.2 -1.36699
0.6 0.3 -1.36699
0.6 0.4 -0.844845
0.6 0.5 -1.22461e-16
0.6 0.6 0.844845
0.6 0.7 1.36699
0.6 0.8 1.36699
0.6 0.9 0.844845


0.7 0.1 -0.779202
0.7 0.2 -1.26078
0.7 0.3 -1.26078
0.7 0.4 -0.779202
0.7 0.5 -2.14331e-17
0.7 0.6 0.779202
0.7 0.7 1.26078
0.7 0.8 1.26078
0.7 0.9 0.779202


0.8 0.1 -0.415931
0.8 0.2 -0.67299
0.8 0.3 -0.67299
0.8 0.4 -0.415931
0.8 0.5 -5.43673e-16
0.8 0.6 0.415931
0.8 0.7 0.67299
0.8 0.8 0.67299
0.8 0.9 0.415931


0.9 0.1 0.106212
0.9 0.2 0.171854
0.9 0.3 0.171854
0.9 0.4 0.106212
