0 0.1 100
0 0.2 100
0 0.3 100
0 0.4 100
0 0.5 100
0 0.6 100
0 0.7 100
0 0.8 100
0 0.9 100
0.1 0.1 92.7122
0.1 0.2 99.668
0.1 0.3 99.9849
0.1 0.4 99.9993
0.1 0.5 99.9999
0.1 0.6 99.9993
0.1 0.7 99.9849
0.1 0.8 99.668
0.1 0.9 92.7122
0.2 0.1 86.6943
0.2 0.2 98.7879
0.2 0.3 99.9172
0.2 0.4 99.995
0.2 0.5 99.9994
0.2 0.6 99.995
0.2 0.7 99.9172
0.2 0.8 98.7879
0.2 0.9 86.6943
0.3 0.1 81.6746
0.3 0.2 97.556
0.3 0.3 99.765
0.3 0.4 99.9813
0.3 0.5 99.9974
0.3 0.6 99.9813
0.3 0.7 99.765
0.3 0.8 97.556
0.3 0.9 81.6746
0.4 0.1 77.4459
0.4 0.2 96.1096
0.4 0.3 99.5167
0.4 0.4 99.9515
0.4 0.5 99.9917
0.4 0.6 99.9515
0.4 0.7 99.5167
0.4 0.8 96.1096
0.4 0.9 77.4459
0.5 0.1 73.849
0.5 0.2 94.5435
0.5 0.3 99.173
0.5 0.4 99.8995
0.5 0.5 99.9797
0.5 0.6 99.8995
0.5 0.7 99.173
0.5 0.8 94.5435
0.5 0.9 73.849
0.6 0.1 70.7613
0.6 0.2 92.9231
0.6 0.3 98.7409
0.6 0.4 99.8201
0.6 0.5 99.9579
0.6 0.6 99.8201
0.6 0.7 98.7409
0.6 0.8 92.9231
0.6 0.9 70.7613
0.7 0.1 68.0872
0.7 0.2 91.2925
0.7 0.3 98.231
0.7 0.4 99.7097
0.7 0.5 99.9228
0.7 0.6 99.7097
0.7 0.7 98.231
0.7 0.8 91.2925
0.7 0.9 68.0872
0.8 0.1 65.752
0.8 0.2 89.6814
0.8 0.3 97.6549
0.8 0.4 99.5661
0.8 0.5 99.871
0.8 0.6 99.5661
0.8 0.7 97.6549
0.8 0.8 89.6814
0.8 0.9 65.752
0.9 0.1 63.6967
0.9 0.2 88.1088
0.9 0.3 97.0242
0.9 0.4 99.3882
0.9 0.5 99.7994
0.9 0.6 99.3882
0.9 0.7 97.0242
0.9 0.8 88.1088
0.9 0.9 63.6967
1 0.1 61.8743
1 0.2 86.5865
1 0.3 96.3498
1 0.4 99.1757
1 0.5 99.7053
1 0.6 99.1757
1 0.7 96.3498
1 0.8 86.5865
1 0.9 61.8743
1.1 0.1 60.2475
1.1 0.2 85.1213
1.1 0.3 95.6413
1.1 0.4 98.9294
1.1 0.5 99.5866
1.1 0.6 98.9294
1.1 0.7 95.6413
1.1 0.8 85.1213
1.1 0.9 60.2475
1.2 0.1 58.7861
1.2 0.2 83.7167
1.2 0.3 94.9073
1.2 0.4 98.6503
1.2 0.5 99.4418
1.2 0.6 98.6503
1.2 0.7 94.9073
1.2 0.8 83.7167
1.2 0.9 58.7861
1.3 0.1 57.4654
1.3 0.2 82.3734
1.3 0.3 94.1551
1.3 0.4 98.3399
1.3 0.5 99.2696
1.3 0.6 98.3399
1.3 0.7 94.1551
1.3 0.8 82.3734
1.3 0.9 57.4654
1.4 0.1 56.2655
1.4 0.2 81.0908
1.4 0.3 93.3907
1.4 0.4 98.0002
1.4 0.5 99.0697
1.4 0.6 98.0002
1.4 0.7 93.3907
1.4 0.8 81.0908
1.4 0.9 56.2655
1.5 0.1 55.1699
1.5 0.2 79.8672
1.5 0.3 92.6193
1.5 0.4 97.6329
1.5 0.5 98.8419
1.5 0.6 97.6329
1.5 0.7 92.6193
1.5 0.8 79.8672
1.5 0.9 55.1699
1.6 0.1 54.1648
1.6 0.2 78.7004
1.6 0.3 91.8449
1.6 0.4 97.2402
1.6 0.5 98.5864
1.6 0.6 97.2402
1.6 0.7 91.8449
1.6 0.8 78.7004
1.6 0.9 54.1648
1.7 0.1 53.2388
1.7 0.2 77.5876
1.7 0.3 91.0709
1.7 0.4 96.8241
1.7 0.5 98.3038
1.7 0.6 96.8241
1.7 0.7 91.0709
1.7 0.8 77.5876
1.7 0.9 53.2388
1.8 0.1 52.3824
1.8 0.2 76.5259
1.8 0.3 90.3
1.8 0.4 96.3865
1.8 0.5 97.995
1.8 0.6 96.3865
1.8 0.7 90.3
1.8 0.8 76.5259
1.8 0.9 52.3824
1.9 0.1 51.5873
1.9 0.2 75.5123
1.9 0.3 89.5343
1.9 0.4 95.9295
1.9 0.5 97.661
1.9 0.6 95.9295
1.9 0.7 89.5343
1.9 0.8 75.5123
1.9 0.9 51.5873
2 0.1 50.8467
2 0.2 74.5438
2 0.3 88.7754
2 0.4 95.4547
2 0.5 97.303
2 0.6 95.4547
2 0.7 88.7754
2 0.8 74.5438
2 0.9 50.8467
2.1 0.1 50.1547
2.1 0.2 73.6177
2.1 0.3 88.0244
2.1 0.4 94.9641
2.1 0.5 96.9223
2.1 0.6 94.9641
2.1 0.7 88.0244
2.1 0.8 73.6177
2.1 0.9 50.1547
2.2 0.1 49.506
2.2 0.2 72.7312
2.2 0.3 87.2823
2.2 0.4 94.4592
2.2 0.5 96.5204
2.2 0.6 94.4592
2.2 0.7 87.2823
2.2 0.8 72.7312
2.2 0.9 49.506
2.3 0.1 48.8964
2.3 0.2 71.8817
2.3 0.3 86.5498
2.3 0.4 93.9417
2.3 0.5 96.0986
2.3 0.6 93.9417
2.3 0.7 86.5498
2.3 0.8 71.8817
2.3 0.9 48.8964
2.4 0.1 48.322
2.4 0.2 71.0666
2.4 0.3 85.8273
2.4 0.4 93.4129
2.4 0.5 95.6584
2.4 0.6 93.4129
2.4 0.7 85.8273
